class,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
water,3317.61,1622.58,369.995,-1535.14,1911.48,2036.62,2111.92,2707.07,579.418,1479.84,-335.196,455.797,1655.23,1441.44,885.633,398.882,1301.05,2631.58,3317.61,1544.45,-54.4779,2297.19,99.0799,2466.81,2018.63,1043.93,2752.47,-87.6011
water,2962.69,2250.33,671.599,229.826,1831.99,1842.56,2186.74,1910.27,718.783,1499.59,1021.58,1832.81,1478.8,2962.69,1008.38,399.367,1225.31,2714.98,1555.15,2133.41,1950.33,1599.42,1430.91,667.427,1426.47,2480.49,1794.96,1378.45
water,5011.31,4568.46,5011.31,3088.33,2260.56,1864.96,1834.98,2236.35,3938.29,1630.57,4134.62,4174.1,1596.74,3547.67,820.466,327.357,1250.46,3045.65,3973.62,2496.83,4758.15,4177.9,4663.66,2640.09,1943.72,4789.53,4973.42,4614.97
water,3085.63,1267.78,-355.456,-103.276,-145.822,444.444,-306.795,-136.986,716.204,2519.52,-3024.25,-252.544,3085.63,1690.06,737.352,1022.04,2088.47,2538.01,341.801,1530.35,-770.46,360.588,1672.2,1490.82,532.594,520.717,2805.35,-717.973
water,3721.92,1542.01,-357.044,-493.602,1080.8,-412.541,-242.057,1479.06,910.837,2984.74,-2307.13,106.786,3721.92,1820.05,774.487,699.817,2011.68,2701.86,354.443,1872.01,2293.49,2042,1255.31,2001.22,644.6,825.991,1875.09,-947.667
water,3934.79,3417.02,-250.499,250.55,96.0003,574.646,215.314,865.569,378.014,2789.87,-353.854,516.577,3934.79,2239.79,751.135,651.226,2029.48,2833.62,1011.93,1001.34,1639.1,1041.89,1406.69,2224.43,679.548,1427.78,2634.7,-291.859
water,3715.96,1327.12,466.407,1681.95,-731.915,-348.172,912.229,1266.94,1416.05,3268.28,-129.808,917.113,3715.96,1911.5,858.063,1206.12,1990.52,2768.2,1235.13,853.397,619.231,2799.14,2025.73,635.895,606.472,1709.21,2685.93,-668.486
water,3505.66,1171.08,-111.497,593.22,-821.686,-463.782,-77.5706,-257.642,2090.3,3087.23,-2929.52,-133.333,3505.66,2133.53,794.776,839.629,1988.15,2669.13,528.727,720.427,2459.42,2932.46,1553.33,968.962,578.1,662.531,2753.88,-1120.99
water,4065.36,2924.97,1365.73,575.423,651.97,3075.73,1181.1,1623.93,1120.46,2208.17,-1114.86,1509.43,4065.36,3610.15,711.534,1222.15,2075.55,2922.05,1740.03,1747.02,2605.55,1394.1,2580.26,2454.71,714.72,2163.07,2548.11,1779.79
water,3299.41,896.552,1901.88,-602.32,-404.227,1793.33,-650.27,2580.22,630.957,1148.63,-2429.61,-819.424,3299.41,1267.26,1091.07,1450.66,1847.79,2452.77,105.227,1960.65,-1077.22,578.26,623.234,1732.25,1910.81,1025.57,-40.4475,-1035.08
water,3076.46,1925.45,2965.97,430.59,394.516,928.59,-224.339,980.465,570.842,3034.33,-2341.09,-14.5773,3020.54,2107.56,1162.99,928.808,2081.4,2437.28,342.542,2784.2,-620.136,326.409,1442.95,933.689,2291.99,3076.46,2274.42,990.668
water,3140.21,1130.28,2719.82,-880.243,9.86838,1483.8,287.49,131.868,450.036,1679.05,-2186.68,-567.588,3140.21,2688.71,1074.57,1478.52,1892.12,2503.25,385.509,1691.43,816.882,2590.98,680.039,3074.13,1979.38,1368.63,1924.52,-150.129
water,6040.45,5614.13,4563.39,5595.63,5748.86,1018.94,4652.31,4530.62,682.469,5149.34,4959.41,4036.88,3577.01,4325.07,1004.39,958.462,2026.34,3091.98,6040.45,3096.37,4167.64,2563.99,1019.66,3218.08,2316.98,3820.7,4448.2,4320.12
water,3539.32,1722.43,601.057,-170.996,811.589,1231.47,621.693,1071.22,865.743,3539.32,504.084,80.9171,2669.45,1431.28,1016.6,812.75,2108.22,2594.5,578.625,2065.07,-346.399,2230.67,1014.54,1217.88,2201.93,1350.66,1676.46,-342.357
water,3279.63,1768.96,2073.13,-326.16,66.5103,1481.83,733.93,1574.65,1328.12,1397.23,73.1263,460.358,3279.63,2166.68,1120.08,1337.56,2262.62,2088.25,595.715,1514.72,-688.442,464.097,719.524,2144.98,1352.67,1511.17,1881.61,-361.357
water,3923.73,2418.2,1276.26,650.845,109.143,811.96,2715.56,3492.79,619.41,3923.73,2473.9,2001.15,3061.15,2421.07,1059.66,757.761,2155.68,2646.05,1894.98,2321.08,2222.22,1995.92,969.82,1145.44,2722.89,2812.91,3046.13,1640.07
water,3547.04,1815.96,3539.05,-566.926,1683.87,1382.05,152.788,609.116,2492.54,1946.4,-264.753,149.729,3547.04,2015.72,955.471,1466.92,2242.08,2648.08,1214.52,2400.44,-298.92,498.461,722.553,1772.83,1222.92,1751.18,1340.7,798.061
water,3501.74,2018.46,527.461,95.1567,247.093,805.705,332.805,1378.91,569.196,3501.74,-782.226,715.019,3115.45,1930.73,992.77,786.789,2005.92,2665.7,1290.84,2441.06,-524.357,1138.6,1349,816.49,2844.27,1889.47,2562.07,-587.703
water,3191.11,1245.49,623.043,-639.263,-339.51,1672.27,-69.1057,2348.24,747.206,1290.51,27.7866,256.577,3191.11,1387.22,1001.6,1364.79,1839.93,2538.79,442.626,2185.04,-539.216,508.183,717.858,818.161,2413.76,1220.28,483.449,140.078
water,2794.61,1126.62,643.916,-1732.38,-827.346,1527.71,20.9045,405.345,458.084,2462.18,-504.288,-268.145,2794.61,2216.53,989.841,1476.38,1994.37,2416.83,841.346,1408.36,2550.55,2510.04,1062.19,2633.75,1683.66,1679.55,479.028,-37.3973
water,7495.44,6845.18,7351.71,6328.26,7045.09,4488.68,7106.89,6872.94,4696,6942.02,7298.68,6810.35,978.921,1511.3,1725.92,1204.69,1529.26,6261.47,7275.48,3286.1,6898.96,6027.89,6475.41,1271.57,862.623,7113.4,6673.24,7495.44
water,7630.15,6728.54,6961.64,3623.73,7013.48,4484.08,6734.79,6427.08,4685.03,7301.79,7028.09,6600.8,1506.29,1599.44,1747.41,433.056,1424.15,5483.01,6798.69,5392.76,4551.69,4384.11,1736.59,2579.34,867.909,6994.44,5492.14,7630.15
water,3445.78,2338.59,-57.6775,-463.665,1452.73,2077.3,-904.886,-207.509,2918.6,3154.29,-2525.25,2846.15,1049.4,1892.84,2491.19,1148.96,1499.18,2394.73,878.057,1477.95,-197.929,721.542,2466.71,1710.39,787.745,3445.78,2884,-1061.45
water,3559.95,2685.29,-52.5621,-689.183,-1305.53,3419.3,646.797,1248.16,3559.95,2172.82,-266.703,2550.08,1101.51,1929.51,1949.31,1124.05,1498.72,2517.92,1584.08,2024.69,-12.7472,1152.47,1481.34,2883.54,820.649,2915.65,558.179,1351.16
water,4165.34,3109.2,21.2205,3656.7,-2132.21,3432.97,435.203,857.25,3170.82,4165.34,515.749,2529.31,1323.15,1829.81,2039.91,585.251,1550.68,2907.72,1742.6,3466.55,240.202,1154.06,3192.91,2028.45,836.15,817.567,623.575,473.269
water,1545.92,1153.96,-570.342,-553.855,-874.162,393.071,1093.59,-695.167,-1969.81,-2588.43,-1100.54,349.766,1545.92,1049.36,638.023,988.633,858.591,1302.25,-73.7644,341.048,387.003,-422.707,-1085.32,386.388,490.84,-2386.12,871.154,-787.429
water,1814.71,816.565,-3.80767,-627.462,-1266.73,486.018,1163.53,1136.97,-2624.64,-3191.75,476.191,416.694,1814.71,874.091,879.673,895.774,877.686,1073.02,-147.241,370.623,-157.507,-776.686,863.304,362.597,560.479,-2363.83,1159.64,998.663
water,1414.06,539.255,-625.732,-2939.74,-2350.2,459.32,757.849,368.114,-610.65,-3316.74,440.303,386.704,1414.06,726.944,672.64,702.716,771.018,1052.18,-912.863,481.349,173.332,-1470.49,-1445.37,242.5,349.029,-2729.43,837.467,214.753
water,2705.11,1954.76,681.991,179.932,850.447,457.188,1065.51,1172.84,-705.423,1612.9,1051.24,375.298,1995.83,1208.24,652.651,1349.48,871.686,1911.21,653.855,208.69,820.25,625.117,-155.039,407.77,566.201,-397.704,1175.06,2705.11
water,2256.91,2256.91,1743.65,663.9,1089.54,414.752,618.117,259.555,861.608,289.474,-1014.28,359.271,1367.91,881.316,547.171,754.979,704.071,1796.01,331.71,573.765,1149.33,-1019.9,-1150.61,312.821,362.106,-2000,928.937,1630.77
water,1987.75,1193.95,1333.93,-960.542,-1396.59,510.626,1795.3,-101.862,-2305.27,-2868.5,1987.75,421.415,1938.83,692.683,954.088,755.609,873.335,1211.64,-230.81,686.538,92.6059,-778.098,932.329,376.501,371.619,-2071.56,1137.08,359.029
forest,4635.05,2960.34,4635.05,357.408,3748.65,3766.71,4429.97,757.053,1382.63,3388.62,4002.48,390.089,1812.26,761.545,647.38,849.434,4571.89,3502.38,2479.17,916.74,3967.04,3566.34,312.863,330.529,385.327,3427.25,748.956,2364.75
forest,7905.48,5353.6,5883.45,804.784,857.962,4828.96,4111.69,6164.02,5572.59,3271.93,6157.55,916.657,1484.33,4527.6,1394,668.76,1189.27,6319.91,1464.82,4700.57,6964.92,6171.07,552.053,2928.47,524.677,2233.21,671.058,7905.48
forest,8048.82,6535.44,8048.82,4244.53,935.349,3680.95,6040.46,5658.14,5623.79,1856.58,3113.72,1984.6,1884.99,3288.94,1340.14,261.026,1346.27,6918.89,2248.95,3669.41,7437.29,6024.76,1913.56,1507.13,436.801,4517.2,788.748,6233.36
forest,7836.1,2636.5,7836.1,5466.18,954.376,4006.4,3399.48,1746.37,3200.18,718.419,3890.53,1198.19,2213.97,2266.16,1311.67,322.449,1668.31,7125.33,2169,1926.51,7442.36,6232.31,1149.19,1331.08,562.103,4751.48,879.334,3443.82
forest,7581.11,7581.11,7538.18,6613.74,4241.7,5650.91,1850,2045.86,5218.38,1476.27,6839.94,1528.65,2278.78,2189.29,1153.14,321.854,1533.53,6898.31,923.451,4841.5,4026.57,5190.11,2391.03,3773.92,509.216,4228.84,695.617,4993.56
forest,7583.17,7573.11,7583.17,365.359,4378.09,3865.47,1380.14,3821.81,5833.96,2639.89,6990.38,4781.3,2018.45,1900.19,977.788,360.406,1477.42,6665.65,2616.04,6180.71,3267.07,6117.63,3740.87,2348.72,458.416,5309.89,585.565,2415.22
forest,7300.13,6260.37,6870.76,3414.99,701.525,2502.67,3039.21,4237.96,4995.06,1426.2,2153.75,1006.43,1929.81,2815.89,2020.77,311.25,1373.22,6069.06,4304.82,839.112,6275.55,5079.24,1138.43,4112.17,651.136,2109.48,704.755,7300.13
forest,7949.27,7434.65,7215.94,2416.29,1297.83,6141.05,1940.03,1498.08,1751.2,1934.62,3864.8,1035.81,1743.7,5492.54,3593.03,350.868,1550.63,7181.81,3633.42,1019.51,7949.27,6667.59,1406.05,1435.58,530.284,1592.9,623.219,7034.63
forest,8006.32,7529.73,8006.32,7118.16,490.004,3017.84,1952.36,1329.32,428.704,1002.54,3356.73,826.572,1625.33,4136.3,2734.05,429.223,1678.08,5197.65,779.304,1677.82,8004.76,6603.6,787.907,1839.96,532.128,2723.68,623.595,7542.91
forest,7900.37,5437.36,7601.45,3767.97,5480.66,1871.23,5577.09,4924.86,5919.9,5104.75,7900.37,1720.93,1986.14,2018.21,954.652,472.79,1225.64,6634.22,5038.99,4575.67,7336.13,5954.99,1924.44,1444.85,469.68,4658.92,620.991,6466.5
forest,8189.68,7628.93,8041.93,3158.87,609.118,4007.12,6684.92,1406.57,645.656,1394.35,5179.11,1053.26,1632.3,5131.53,3106.95,507.904,1709.7,6111.15,1061.7,1515.89,7487.01,6529.51,1390.44,1145.4,511.895,1722.78,658.615,8189.68
forest,7876.16,6829.53,7816.21,1075.52,801.239,6607.7,4811.39,1601.78,1413.92,1958.24,4994.43,1394.51,1658.93,5891.55,2971.77,459.837,1552.55,7084.67,4295.56,862.319,7876.16,6756.26,1234.13,1851.99,509.918,1395.46,618.768,7646.45
forest,7751.89,5720.95,7751.89,5013.91,4678.3,3459.79,3828.29,3767.33,5341.22,1941.7,3499,1614.37,1995.31,1952.56,995.85,327.346,1296.27,6728.82,2189.79,5871.12,7256.09,5894.64,1970.49,1151.48,482.241,4325.94,649.274,4631.15
forest,7453.29,5764.44,7453.29,3882.06,1755.01,6330.79,4553.94,3332.08,5761.69,2396.49,5819.28,2117.81,1900.33,2503.5,1076.96,346.107,1242.58,6483.52,1913.51,4257.49,6825.49,5514.65,2865.42,1804.49,418.891,5108.43,636.142,6889.36
forest,7909.21,7169.56,7623.56,4509.23,610.183,5157.56,2004.07,1481.96,6229.53,1157.93,7303.79,1418.91,2140.83,1652.12,1776.67,237.754,1706.81,6953.6,1741.55,2394.78,7909.21,6168.16,774.946,4826.72,628.283,4834.75,725.952,6028.44
forest,8202.56,7402.03,8202.56,6818.84,1402.04,4002.3,1539.15,1837.51,1995.04,874.048,2097.61,676.166,1892.59,3694.74,2829.38,269.308,1659.45,6702.02,2866.69,1114.82,7957.35,6525.18,483.769,1049.52,520.145,5411.1,749.039,7676.76
forest,8039.33,7925.35,8039.33,4983.27,5758.3,3840.93,1191.43,1390.44,1157.32,1052.28,4983.76,1450.02,1715.37,1861.11,1521.03,352.012,1643.93,7185.35,1644.61,1420.74,5183.43,6348.55,517.121,2545.46,553.269,5731.32,693.352,7397.27
forest,8000.52,7605.32,8000.52,987.466,7247.28,1887.66,5943.45,2521.71,5537.34,3761.52,5084.75,1958.21,2206.25,2960.77,1007.11,360.945,1731.14,7053.95,4666.18,5009.55,699.021,6081.08,3964.57,6547.84,572.594,6281.42,640.089,1659.12
forest,8289.04,5879.82,8289.04,7140.43,3425.96,3892.96,4948.36,2112.98,5928.2,1016.88,7047.41,1965.31,2101.74,1581.58,1385.12,316.458,1750.73,6944.87,1030.77,6702.75,4959.71,6468.43,3025.89,5520.64,480.664,4860.6,703.245,4245.74
forest,8216.5,7573.33,6803.93,4929.96,557.724,5785.49,738.073,1737.77,1068.34,690.461,8216.5,1385.23,1727.57,3411.93,2868.99,445.272,1604.6,1767.13,829.912,5020.92,7595.91,6398.52,508.255,643.738,472.596,6120.82,707.789,4790.63
forest,7792.57,5020.49,7182.48,6064.36,611.938,6263.9,2645.14,1366.87,1609.57,940.642,1006.17,1036.77,1830.7,2853.79,2847.06,323.202,1753.58,7253.53,2809.3,856.914,7792.57,6158.88,752.76,1525.4,593.813,4517.69,761.306,6035.75
forest,7303.76,7303.76,7054.7,5802.03,5904.72,2504.96,2546.32,1288.42,2955.88,598.458,3346.57,3145.56,2281.72,1306.41,1267.37,288.939,1448.02,6487.36,886.647,5812.38,4393.71,5583.79,1815.91,2054.7,598.357,6726.39,781.606,2034.7
forest,7688.13,7688.13,7407.07,6540.47,519.352,6067.41,1206.84,2053.26,1443.64,1004.37,6594.51,1282.24,1768.19,3860.39,2649.48,478.726,1652.55,6252.1,1372.72,6141.05,7190.24,6365.89,968.114,1049.23,458.646,1202.01,768.538,7655.12
forest,7901.28,7901.28,7727.11,2823.94,5218.9,5390.88,1545.81,2036.29,913.288,851.449,3919.53,1923.47,1557.03,5112.93,1863.26,290.738,1581.58,6144.3,3347.37,6206.25,5333.26,6767,522.844,992.922,595,7418.2,806.275,7572.31
forest,8050.76,7767.9,8050.76,6626.93,3813.87,1935.35,5365.8,1452.78,4488.31,686.76,5370.52,2839.4,2203.31,2268.88,1418.72,318.678,1623.61,7254.1,4823.51,6260.87,2358.25,6021.28,1010.09,4460.04,537.405,7431.37,765.464,2258.54
forest,8090.44,4357,8090.44,7319.82,877.478,2133.17,6215.15,3668.85,5569.04,732.13,1065.28,875.842,2097.86,2807.1,1589.51,431.286,1561.03,7255.72,2643.96,874.757,7688.88,6221.33,1601.17,1144.81,466.219,2578.31,947.044,7014.46
forest,7950.63,6286.57,7950.63,2305.18,5785.14,7006.26,2279.97,2223.95,5333.45,3781.31,6929.24,1700.22,2264.86,2045.26,1064.9,366.86,1461.81,6621.93,956.882,5842.28,2239.95,6088.18,2413.4,3018.3,518.601,3655.51,662.255,6209.1
forest,7190.42,7190.42,2375.89,3781.54,4763.19,1191.39,4453.6,1212.04,2769.64,1926.85,1231.23,5409.66,2015.33,4253.14,1393.34,294.658,1423.79,6972.91,5131.79,4707.84,4521.03,6060.44,730.415,1671.39,891.291,7043,661.502,1455.22
forest,7804.18,7804.18,6766.66,6873.7,3008.33,1657.36,3757.6,1166.97,6013.3,744.254,5978.17,3393.19,1935.58,3774.61,1301.69,289.742,1716.65,7263.24,4620.67,4863.53,2545.61,6562.56,2190.38,1145.43,559.568,7188.08,695.566,1316.98
forest,8128.95,7659.08,8128.95,1184,6159.81,3684.04,3307.6,1697.76,5643.67,2094.44,7643.73,1408.29,2148.79,1556.89,1215.02,368.921,1535.61,6860.74,1488.96,5981.5,2005.61,6570.11,5081.5,5652.51,502.76,5462.61,641.694,4404.83
forest,7718,7448.06,7635.78,4641.81,6234.4,3524.06,1299.04,2466.7,1875.98,798.025,7718,5604.12,2653.11,1081.02,1513.79,240.1,1404.03,6827.16,585.097,6252.99,5162.95,6151.84,1647.25,3891.21,744.19,5090.74,764.772,2482.81
forest,8147.48,6941.25,7785.49,1996.34,649.892,3675.67,4419.27,2073.34,3572.73,980.796,928.24,1084.72,2009.81,2531.28,3338.41,280.21,1584.03,7107.77,3013.96,931.073,7514.94,6290.52,1384.7,2355.54,614.069,2807.2,808.554,8147.48
forest,7416.85,5385.12,2131.54,7078.32,5931.22,1438.15,1078.58,3845.62,5765.64,1403.26,1225.27,6088.18,2015.39,2473.44,1129.44,289.597,1260.28,6561.58,1101.32,3297.44,4202.92,6099.68,1017.86,1025.86,866.181,7416.85,743.624,2979.85
forest,7824.58,2865.07,7824.58,6056.76,567.609,4305.36,2583.54,1915.44,3944.06,1038.75,748.055,935.315,2001.06,2377.04,1700.04,298.816,1639.72,6954.44,4109.19,1247.17,7646.95,6320.94,1885.33,2291.75,634.793,4401.7,910.608,7679.12
forest,7861.76,6832.63,7861.76,6800.99,3182.7,6284.84,1982.83,2593.12,5833.76,1363,1452.49,2223.53,2003.38,2372.49,1305.88,333.364,1394.04,6812.76,937.612,5637.72,4614.12,5972.52,2305.05,3917.55,390.372,4594.28,728.916,3471.31
forest,8043.94,6447.14,7581.96,5080.74,576.475,4738.38,3904,2190.86,2471.3,1123.41,852.353,1182.79,1977.15,2702.91,3268.08,237.093,1702.38,6893.22,1746.01,747.326,7755.16,6043.1,1797.05,1496.23,556.154,4304.2,796.066,8043.94
forest,8110.44,7685.2,7565.53,3974.22,672.754,6999.08,790.609,2312.11,618.148,864.391,6756.61,1471.76,1698.25,3694.28,2366.46,366.579,1544.78,1575.09,1223.09,4807.53,8110.44,6981.15,403.36,1200.22,536.323,3220.45,821.327,6434.05
forest,7830.67,5974.31,7830.67,941.758,869.891,5089.05,4346.05,4594.4,7486.96,2006.37,4011.62,1687.25,1483.5,5527.72,1152.22,638.122,1174.18,6406.4,1712.67,4724.96,6966.97,5512.12,467.282,1629.23,464.469,5382.63,673.629,4035.8
forest,8021.19,7610.43,8021.19,1366.2,1085.33,6804.43,2317.85,1414.39,906.236,1468.07,7915.48,1065.61,1680.1,6144.05,3550.42,470.324,1674.44,7228,2086.09,992.622,7829.6,6896.38,1482.19,3352.58,477.757,696.914,646.281,8007.96
forest,7550.35,6765.15,2390.57,2537.54,6319.93,1079.86,2000.95,1139.64,4842.29,1077.72,825.439,5899.33,2123.6,3169.68,1239.67,308.587,1291.24,6992.69,2686.43,6319.13,5438.98,6061.59,655.289,1553.32,779.763,7550.35,759.433,2056.99
forest,7758.76,5869.88,7758.76,5487.87,1393.3,6866.2,3919.02,2099.96,4386.85,2437.35,5881.84,1098.19,1619.41,5874.08,1899.93,490.737,1359.29,6270.36,2028.69,920.595,7637.07,6259.26,1319.3,3222.07,586.625,2210.86,598.169,7140.35
forest,8226.33,7807.42,8105.69,341.557,5955.72,4137.78,951.588,5638.38,6611.65,5548.83,8226.33,3387.2,2004.18,2218.6,849.125,370.26,1361.43,7041.58,4382.48,6591.63,3700.48,5985.79,1857.37,1330.33,496.5,5142.45,574.713,3036.34
forest,6727.26,5912.87,6727.26,3817.06,4710.44,1408.96,1007.41,2808.32,4443.95,1084.99,936.004,5368.45,2415.08,1431.62,1221.63,239.525,1276.42,5970.12,885.741,5796.64,4039.54,5384.09,739.7,1022.95,769.768,6495.1,765.515,2033.3
forest,7060.76,6548.75,6620.81,1028.59,671.289,5188.25,4676.99,6270.88,7060.76,3485.82,5281.23,1082.06,1426.34,5225.69,1441.64,839.474,1172.91,6324,4298.57,4020.29,6445.92,5163.98,627.556,3750.52,453.506,5158.51,706.586,6958.22
forest,7835.46,7622.85,7835.46,6487.56,2897.02,3701.49,5934.57,1161.48,5949.41,1090.49,6360.88,2262.67,2038.81,2188.04,1561.6,366.352,1816.99,7130,4403.09,6307.66,1077.3,6459.9,1616.57,5703.27,520.603,7350.56,683.956,2042.93
forest,7353.25,5678.09,1483.8,1557.8,7353.25,1133.96,2563.92,1063.41,5273.95,1667.57,1115.39,5702.73,1926.11,3338.8,1262.76,312.912,1373.21,6830.32,4282.39,5746,3719.02,5746.56,797.784,1329.74,822.765,6562.84,730.683,1310.83
forest,7656.87,4076.82,7656.87,5080.23,1121.65,4169.77,3854.14,1617.26,2036.18,684.86,3821.79,1783.94,2105.88,2054.64,1621.83,351.028,1792.18,6843.81,3373.29,2126.06,6929.64,6111.56,847.912,3363.3,602.393,5522.44,762.034,3649.64
forest,7348.89,5934.72,7348.89,7087.81,1521.47,4896.6,4086.01,2972.34,4991.15,1131.34,1523.82,2102.9,1988.91,3055.78,1579.12,310.428,1399.95,6522.42,1791.77,4149.55,6956.62,5981.05,2083.37,1906.36,421.11,4529.52,756.027,5958.55
forest,7708.86,6611.77,7708.86,5936.49,1079.31,5510.08,5503.6,2175,4520.59,1052.33,5541.81,4321.68,2107.78,1421.52,1343.22,311.108,1704.63,6571.94,899.487,5224.42,6488.05,5842.58,1969.37,5648.11,521.462,6295.34,712.089,3774.92
forest,8261.64,7686.25,7351.33,6943.4,420.684,5276.44,3372.25,1568.44,2247.68,780.619,8132.75,1157.17,1819.01,4646.15,2285.7,416.104,1755.76,5298.81,1027.22,1274.42,7991.75,6695.46,529.988,1571.4,507.008,5087.66,663.915,8261.64
forest,7977.87,7595.38,7977.87,354.443,6410.66,2898.92,6805.68,5456.53,5845.52,3110.17,7771.19,2426.83,1935.8,2777.41,854.043,338.548,1514.67,6944.26,4723.25,6364.95,1031.57,6378.85,3756.85,3556.98,490.201,5719.16,623.34,1613.5
forest,7696.76,7696.76,7553.37,3581.89,5573.53,2097.91,721.091,1470.48,405.555,1011.78,6670.36,3941.4,1579.9,2662.28,1329.23,253.743,1607.79,7022.65,1051.28,6263.68,3343.89,5708.03,439.398,1779.24,550.736,7083.81,692.221,7596.81
forest,7989.17,6685.5,7645.68,6482.55,498.316,5119.32,1446.08,1616.93,1071.9,788.914,5686.14,1324.54,1801.73,3732.23,2281.97,313.739,1635.52,5371.31,979.044,1034.72,7989.17,6756.76,413.401,2825.84,549.784,5520.76,738.08,7987.47
forest,7398.22,7398.22,7339.42,3437.54,6138.82,4480.13,1483.46,2736.7,2423.26,794.659,4955.34,5495.15,2702.25,1078.8,1532.95,243.896,1376.17,6695.57,702.017,6031.07,5213.68,5889.67,1529.54,3552.18,690.947,5794.76,718.88,2266.68
forest,7009.97,5277.46,2175.66,2723.79,5963.37,982.329,1525.59,2509.91,5454.15,1693.5,617.149,6033.12,1945.75,3349.52,1061.71,321.508,1249.33,7009.97,2635.14,6229.33,5667.43,6101.39,865.824,2507.04,827.821,6966.38,704.442,3208.84
